id,icao24,callsign,estDepartureAirport,estArrivalAirport,firstSeen,lastSeen,flight_duration_minutes,total_distance_km,airport_pair,firstSeen_time,lastSeen_time
36621,88596f,TVJ722  ,VTBS,,1741173218,1741174919,28.35,2.307,,2025-03-05 11:13:38,2025-03-05 11:41:59
36546,4baacd,THY1WH  ,LTFM,LTBK,1741172852,1741174911,34.31666666666667,17.992,LTFM-LTBK,2025-03-05 11:07:32,2025-03-05 11:41:51
36574,71c700,ESR229  ,RKSS,,1741172823,1741174907,34.733333333333334,0.582,,2025-03-05 11:07:03,2025-03-05 11:41:47
36630,a5713d,N45RC   ,KFTW,22MS,1741171347,1741174895,59.13333333333333,30.673,KFTW-22MS,2025-03-05 10:42:27,2025-03-05 11:41:35
36417,a5713d,N45RC   ,KFTW,22MS,1741171347,1741174895,59.13333333333333,30.673,KFTW-22MS,2025-03-05 10:42:27,2025-03-05 11:41:35
36562,4d224f,RYR3LN  ,LIRP,,1741172416,1741174889,41.21666666666667,2.888,,2025-03-05 11:00:16,2025-03-05 11:41:29
36001,4d224f,RYR3LN  ,LIRP,,1741172416,1741174889,41.21666666666667,2.888,,2025-03-05 11:00:16,2025-03-05 11:41:29
36585,780a3a,CPA331  ,VHHH,VMMC,1741150127,1741174885,412.6333333333333,13.122,VHHH-VMMC,2025-03-05 04:48:47,2025-03-05 11:41:25
36134,780a3a,CPA331  ,VHHH,VMMC,1741150127,1741174885,412.6333333333333,13.122,VHHH-VMMC,2025-03-05 04:48:47,2025-03-05 11:41:25
36612,880458,AIQ3568 ,VTBD,,1741173105,1741174878,29.55,1.751,,2025-03-05 11:11:45,2025-03-05 11:41:18
36329,880458,AIQ3568 ,VTBD,,1741173105,1741174878,29.55,1.751,,2025-03-05 11:11:45,2025-03-05 11:41:18
36547,4bcde5,SAA551  ,FAOR,FANC,1741173477,1741174854,22.95,21.624,FAOR-FANC,2025-03-05 11:17:57,2025-03-05 11:40:54
35960,4bcde5,SAA551  ,FAOR,FANC,1741173477,1741174854,22.95,21.624,FAOR-FANC,2025-03-05 11:17:57,2025-03-05 11:40:54
